name,abbreviation
Algeria,ALG
Argentina,ARG
Australia,AUS
Austria,AUT
Belgium,BEL
Bosnia & Herz.,BIH
Brazil,BRA
Canada,CAN
Cape Verde,CPV
Colombia,COL
Croatia,CRO
Curacao,CUW
Czech Republic,CZE
DR Congo,COD
Ecuador,ECU
Egypt,EGY
England,ENG
France,FRA
Germany,GER
Ghana,GHA
Haiti,HAI
Iran,IRN
Iraq,IRQ
Ivory Coast,CIV
Japan,JPN
Jordan,JOR
Mexico,MEX
Morocco,MAR
Netherlands,NED
New Zealand,NZL
Norway,NOR
Panama,PAN
Paraguay,PAR
Portugal,POR
Qatar,QAT
Saudi Arabia,KSA
Scotland,SCO
Senegal,SEN
South Africa,RSA
South Korea,KOR
Spain,ESP
Sweden,SWE
Switzerland,SUI
Tunisia,TUN
Turkey,TUR
United States,USA
Uruguay,URU
Uzbekistan,UZB
